Dates,US Consumer Confidence,US New Home Sales,US Consumer Core Price Index,US Retail Sales,S&P 500,T30 Yield,US unemployment Rate
2019-04-30,129.2,673,261.74,-0.20,2945.83,2.939,3.6
2019-04-29,124.1,692,261.37,1.60,2943.03,2.964,3.8
2019-04-26,124.1,692,261.37,1.60,2939.88,2.926,3.8
2019-04-25,124.1,692,261.37,1.60,2926.17,2.947,3.8
2019-04-24,124.1,692,261.37,1.60,2927.25,2.941,3.8
2019-04-23,124.1,692,261.37,1.60,2933.68,2.981,3.8
2019-04-22,124.1,692,261.37,1.60,2907.97,2.993,3.8
2019-04-18,124.1,692,261.37,1.60,2905.03,2.961,3.8
2019-04-17,124.1,692,261.37,1.60,2900.45,2.991,3.8
2019-04-16,124.1,692,261.37,1.60,2907.06,2.993,3.8
2019-04-15,124.1,692,261.37,1.60,2905.58,2.963,3.8
2019-04-12,124.1,692,261.37,1.60,2907.41,2.971,3.8
2019-04-11,124.1,692,261.37,1.60,2888.32,2.936,3.8
2019-04-10,124.1,692,261.37,1.60,2888.21,2.903,3.8
2019-04-09,124.1,692,261.37,1.60,2878.20,2.91,3.8
2019-04-08,124.1,692,261.37,1.60,2895.77,2.925,3.8
2019-04-05,124.1,692,261.37,1.60,2892.74,2.908,3.8
2019-04-04,124.1,692,261.37,1.60,2879.39,2.92,3.8
2019-04-03,124.1,692,261.37,1.60,2873.40,2.929,3.8
2019-04-02,124.1,692,261.37,1.60,2867.24,2.886,3.8
2019-04-01,124.1,692,261.37,1.60,2867.19,2.89,3.8
2019-03-29,131.4,667,260.99,-0.20,2834.40,2.821,3.8
2019-03-28,131.4,667,260.99,-0.20,2815.44,2.81,3.8
2019-03-27,131.4,667,260.99,-0.20,2805.37,2.82,3.8
2019-03-26,131.4,667,260.99,-0.20,2818.46,2.867,3.8
2019-03-25,131.4,667,260.99,-0.20,2798.36,2.867,3.8
2019-03-22,131.4,667,260.99,-0.20,2800.71,2.888,3.8
2019-03-21,131.4,667,260.99,-0.20,2854.88,2.964,3.8
2019-03-20,131.4,667,260.99,-0.20,2824.23,2.974,3.8
2019-03-19,131.4,667,260.99,-0.20,2832.57,3.025,3.8
2019-03-18,131.4,667,260.99,-0.20,2832.94,3.01,3.8
2019-03-15,131.4,667,260.99,-0.20,2822.48,3.018,3.8
2019-03-14,131.4,667,260.99,-0.20,2808.48,3.046,3.8
2019-03-13,131.4,667,260.99,-0.20,2810.92,3.009,3.8
2019-03-12,131.4,667,260.99,-0.20,2791.52,2.989,3.8
2019-03-11,131.4,667,260.99,-0.20,2783.30,3.031,3.8
2019-03-08,131.4,667,260.99,-0.20,2743.07,3.008,3.8
2019-03-07,131.4,667,260.99,-0.20,2748.93,3.026,3.8
2019-03-06,131.4,667,260.99,-0.20,2771.45,3.07,3.8
2019-03-05,131.4,667,260.99,-0.20,2789.65,3.086,3.8
2019-03-04,131.4,667,260.99,-0.20,2792.81,3.089,3.8
2019-03-01,131.4,667,260.99,-0.20,2803.69,3.123,3.8
2019-02-28,131.4,667,260.99,-0.20,2784.49,3.09,3.8
2019-02-27,121.7,607,260.7,0.20,2792.38,3.068,4
2019-02-26,121.7,607,260.7,0.20,2793.90,3.006,4
2019-02-25,121.7,607,260.7,0.20,2796.11,3.031,4
2019-02-22,121.7,607,260.7,0.20,2792.67,3.019,4
2019-02-21,121.7,607,260.7,0.20,2774.88,3.044,4
2019-02-20,121.7,607,260.7,0.20,2784.70,3,4
2019-02-19,121.7,607,260.7,0.20,2779.76,2.99,4
2019-02-15,121.7,607,260.7,0.20,2775.60,2.998,4
2019-02-14,121.7,607,260.7,0.20,2745.73,3.008,4
2019-02-13,121.7,607,260.7,0.20,2753.03,3.033,4
2019-02-12,121.7,607,260.7,0.20,2744.73,3.022,4
2019-02-11,121.7,607,260.7,0.20,2709.80,3,4
2019-02-08,121.7,607,260.7,0.20,2707.88,2.976,4
2019-02-07,121.7,607,260.7,0.20,2706.05,2.994,4
2019-02-06,121.7,607,260.7,0.20,2731.61,3.037,4
2019-02-05,121.7,607,260.7,0.20,2737.70,3.035,4
2019-02-04,121.7,607,260.7,0.20,2724.87,3.059,4
2019-02-01,121.7,607,260.7,0.20,2706.53,3.032,4
2019-01-31,121.7,607,260.7,0.20,2704.10,3.004,4
2019-01-30,126.6,621,260.08,-1.20,2681.05,3.053,3.9
2019-01-29,126.6,621,260.08,-1.20,2640.00,3.041,3.9
2019-01-28,126.6,621,260.08,-1.20,2643.85,3.061,3.9
2019-01-25,126.6,621,260.08,-1.20,2664.76,3.061,3.9
2019-01-24,126.6,621,260.08,-1.20,2642.33,3.032,3.9
2019-01-23,126.6,621,260.08,-1.20,2638.70,3.067,3.9
2019-01-22,126.6,621,260.08,-1.20,2632.90,3.054,3.9
2019-01-18,126.6,621,260.08,-1.20,2670.71,3.096,3.9
2019-01-17,126.6,621,260.08,-1.20,2635.96,3.075,3.9
2019-01-16,126.6,621,260.08,-1.20,2616.10,3.076,3.9
2019-01-15,126.6,621,260.08,-1.20,2610.30,3.069,3.9
2019-01-14,126.6,621,260.08,-1.20,2582.61,3.059,3.9
2019-01-11,126.6,621,260.08,-1.20,2596.26,3.036,3.9
2019-01-10,126.6,621,260.08,-1.20,2596.64,3.05,3.9
2019-01-09,126.6,621,260.08,-1.20,2584.96,3.024,3.9
2019-01-08,126.6,621,260.08,-1.20,2574.41,2.992,3.9
2019-01-07,126.6,621,260.08,-1.20,2549.69,2.976,3.9
2019-01-04,126.6,621,260.08,-1.20,2531.94,2.974,3.9
2019-01-03,126.6,621,260.08,-1.20,2447.89,2.899,3.9
2019-01-02,126.6,621,260.08,-1.20,2510.03,2.981,3.9
2018-12-31,126.6,621,260.08,-1.20,2506.85,3.02,3.9
2018-12-28,136.4,657,259.48,0.20,2485.74,3.043,3.7
2018-12-27,136.4,657,259.48,0.20,2488.83,3.028,3.7
2018-12-26,136.4,657,259.48,0.20,2467.70,3.048,3.7
2018-12-24,136.4,657,259.48,0.20,2351.10,3.002,3.7
2018-12-21,136.4,657,259.48,0.20,2416.62,3.027,3.7
2018-12-20,136.4,657,259.48,0.20,2467.42,3.011,3.7
2018-12-19,136.4,657,259.48,0.20,2506.96,3.012,3.7
2018-12-18,136.4,657,259.48,0.20,2546.16,3.077,3.7
2018-12-17,136.4,657,259.48,0.20,2545.94,3.114,3.7
2018-12-14,136.4,657,259.48,0.20,2599.95,3.143,3.7
2018-12-13,136.4,657,259.48,0.20,2650.54,3.162,3.7
2018-12-12,136.4,657,259.48,0.20,2651.07,3.148,3.7
2018-12-11,136.4,657,259.48,0.20,2636.78,3.128,3.7
2018-12-10,136.4,657,259.48,0.20,2637.72,3.129,3.7
2018-12-07,136.4,657,259.48,0.20,2633.08,3.142,3.7
2018-12-06,136.4,657,259.48,0.20,2695.95,3.136,3.7
2018-12-05,136.4,657,259.48,0.20,2700.06,3.177,3.7
2018-12-04,136.4,657,259.48,0.20,2700.06,3.177,3.7
2018-12-03,136.4,657,259.48,0.20,2790.37,3.278,3.7
2018-11-30,136.4,657,259.48,0.20,2760.17,3.311,3.7
2018-11-29,137.9,544,258.94,0.80,2737.76,3.327,3.7
2018-11-28,137.9,544,258.94,0.80,2743.79,3.329,3.7
2018-11-27,137.9,544,258.94,0.80,2682.17,3.32,3.7
2018-11-26,137.9,544,258.94,0.80,2673.45,3.319,3.7
2018-11-23,137.9,544,258.94,0.80,2632.56,3.309,3.7
2018-11-21,137.9,544,258.94,0.80,2649.93,3.31,3.7
2018-11-20,137.9,544,258.94,0.80,2641.89,3.304,3.7
2018-11-19,137.9,544,258.94,0.80,2690.73,3.316,3.7
2018-11-16,137.9,544,258.94,0.80,2736.27,3.326,3.7
2018-11-15,137.9,544,258.94,0.80,2730.20,3.365,3.7
2018-11-14,137.9,544,258.94,0.80,2701.58,3.355,3.7
2018-11-13,137.9,544,258.94,0.80,2722.18,3.366,3.7
2018-11-09,137.9,544,258.94,0.80,2781.01,3.391,3.7
2018-11-08,137.9,544,258.94,0.80,2806.83,3.425,3.7
2018-11-07,137.9,544,258.94,0.80,2813.89,3.424,3.7
2018-11-06,137.9,544,258.94,0.80,2755.45,3.426,3.7
