date,us,germany,uk,australia,canada
2019-05-21,2864.36,12143.5,7328.92,16426.5,6500.14
2019-05-20,2840.23,12041.3,7310.88,16401.8,6476.1
2019-05-17,2859.53,12238.9,7348.62,16401.8,6365.3
2019-05-16,2876.32,12310.4,7353.51,16443.9,6327.84
2019-05-15,2850.96,12099.6,7296.95,16318.1,6284.2
2019-05-14,2834.41,11991.6,7241.6,16284.5,6239.91
2019-05-13,2811.87,11876.7,7163.68,16193.4,6297.59
2019-05-10,2881.4,12059.8,7203.29,16297.5,6310.85
2019-05-09,2870.72,11973.9,7207.41,16321.8,6295.33
2019-05-08,2879.42,12179.9,7271,16397.4,6269.15
2019-05-07,2884.05,12092.7,7260.47,16357.8,6295.68
2019-05-06,2932.47,12286.9,7380.64,16493.5,6283.73
2019-05-03,2945.64,12412.8,7380.64,16494.4,6335.8
2019-05-02,2917.52,12345.4,7351.31,16410.9,6338.41
2019-05-01,2923.73,12344.1,7385.26,16502.8,6375.89
2019-04-30,2945.83,12344.1,7418.22,16580.7,6325.47
2019-04-29,2943.03,12328,7440.66,16600.4,6359.49
2019-04-26,2939.88,12315.2,7428.19,16613.5,6385.65
2019-04-25,2926.17,12282.6,7434.13,16576.1,6382.14
2019-04-24,2927.25,12313.2,7471.75,16586.5,6382.14
2019-04-23,2933.68,12235.5,7523.07,16669.4,6319.42
2019-04-22,2907.97,12222.4,7459.88,16577.3,6259.81
2019-04-18,2905.03,12222.4,7459.88,16612.8,6259.81
2019-04-17,2900.45,12153.1,7471.32,16544.2,6256.38
2019-04-16,2907.06,12101.3,7469.92,16502.2,6277.45
2019-04-15,2905.58,12020.3,7436.87,16515.5,6251.44
2019-04-12,2907.41,11999.9,7437.06,16480.5,6251.32
2019-04-11,2888.32,11935.2,7417.95,16399.5,6198.67
2019-04-10,2888.21,11905.9,7421.91,16396.3,6223.54
2019-04-09,2878.2,11850.6,7425.57,16336.5,6221.82
2019-04-08,2895.77,11963.4,7451.89,16407.3,6221.35
2019-04-05,2892.74,12009.8,7446.87,16396.2,6181.26
2019-04-04,2879.39,11988,7401.94,16311.6,6232.8
2019-04-03,2873.4,11954.4,7418.28,16279.9,6285.05
2019-04-02,2867.24,11754.8,7391.12,16263.9,6242.36
2019-04-01,2867.19,11682,7317.38,16228.1,6216.96
2019-03-29,2834.4,11526,7279.19,16102.1,6180.73
2019-03-28,2815.44,11428.2,7234.33,16155.5,6176.08
2019-03-27,2805.37,11419,7194.19,16132.5,6135.97
2019-03-26,2818.46,11419.5,7196.29,16155.2,6130.59
2019-03-25,2798.36,11346.7,7177.58,16065.9,6126.21
2019-03-22,2800.71,11364.2,7207.59,16089.3,6195.23
2019-03-21,2854.88,11550,7355.31,16244.6,6167.17
2019-03-20,2824.23,11603.9,7291.01,16167.6,6165.35
2019-03-19,2832.57,11788.4,7324,16188.1,6187.79
2019-03-18,2832.94,11657.1,7299.19,16251.4,6190.53
2019-03-15,2822.48,11685.7,7228.28,16140.4,6175.17
2019-03-14,2808.48,11587.5,7185.43,16087.5,6179.59
2019-03-13,2810.92,11572.4,7159.19,16150,6161.19
2019-03-12,2791.52,11524.2,7151.15,16136.7,6174.82
2019-03-11,2783.3,11543.5,7130.62,16106.2,6180.19
2019-03-08,2743.07,11457.8,7104.31,15996.2,6203.76
2019-03-07,2748.93,11517.8,7157.55,16056.5,6263.89
2019-03-06,2771.45,11587.6,7196,16092.1,6245.61
2019-03-05,2789.65,11620.7,7183.43,16086.5,6199.29
2019-03-04,2792.81,11592.7,7134.39,16038.1,6217.41
2019-03-01,2803.69,11601.7,7106.73,16068.3,6192.73
2019-02-28,2784.49,11515.6,7074.73,15999,6168.99
2019-02-27,2792.38,11487.3,7107.2,16074.3,6150.27
2019-02-26,2793.9,11540.8,7151.12,16067.9,6128.39
2019-02-25,2796.11,11505.4,7183.74,16057,6186.32
2019-02-22,2792.67,11457.7,7178.6,16013,6167.31
2019-02-21,2774.88,11423.3,7167.39,16000.9,6139.25
2019-02-20,2784.7,11402,7228.62,16031.2,6096.49
2019-02-19,2779.76,11309.2,7179.17,15937.5,6106.88
2019-02-15,2775.6,11299.8,7236.68,15838.2,6066.1
2019-02-14,2745.73,11089.8,7197.01,15696,6059.39
2019-02-13,2753.03,11167.2,7190.84,15626.7,6063.57
2019-02-12,2744.73,11126.1,7133.14,15642.1,6079.08
2019-02-11,2709.8,11014.6,7129.11,15568.9,6060.85
2019-02-08,2707.88,10906.8,7071.18,15633.3,6071.46
2019-02-07,2706.05,11022,7093.58,15703.4,6092.46
2019-02-06,2731.61,11324.7,7173.09,15712.3,6026.15
2019-02-05,2737.7,11368,7177.37,15702.7,6005.92
2019-02-04,2724.87,11176.6,7034.13,15602.3,5891.2
2019-02-01,2706.53,11180.7,7020.22,15506.3,5862.83
2019-01-31,2704.1,11173.1,6968.85,15540.6,5864.65
2019-01-30,2681.05,11181.7,6941.63,15484.5,5886.7
2019-01-29,2640,11218.8,6833.93,15463.1,5874.17
2019-01-28,2643.85,11210.3,6747.1,15378.6,5905.6
2019-01-25,2664.76,11281.8,6809.22,15366,5905.6
2019-01-24,2642.33,11130.2,6818.95,15280.8,5865.69
2019-01-23,2638.7,11071.5,6842.88,15208.3,5843.72
2019-01-22,2632.9,11090.1,6901.39,15233.8,5858.79
2019-01-18,2670.71,11205.5,6968.33,15303.8,5879.59
2019-01-17,2635.96,10918.6,6834.92,15211.2,5850.05
2019-01-16,2616.1,10931.2,6862.68,15111.3,5835.16
2019-01-15,2610.3,10891.8,6895.02,15046.3,5814.56
2019-01-14,2582.61,10855.9,6855.02,14975.5,5773.37
2019-01-11,2596.26,10887.5,6918.18,14939.2,5774.58
2019-01-10,2596.64,10921.6,6942.87,14903.5,5795.27
2019-01-09,2584.96,10893.3,6906.63,14804.7,5778.29
2019-01-08,2574.41,10804,6861.6,14605.2,5722.44
2019-01-07,2549.69,10747.8,6810.88,14504.1,5683.19
2019-01-04,2531.94,10767.7,6837.42,14426.6,5619.35
2019-01-03,2447.89,10416.7,6692.66,14212.8,5633.4
2019-01-02,2510.03,10580.2,6734.23,14347.2,5557.76
2018-12-31,2506.85,10559,6728.13,14322.9,5646.4
2018-12-28,2485.74,10559,6733.97,14222,5654.32
2018-12-27,2488.83,10381.5,6584.68,14165.2,5597.2
2018-12-26,2467.7,10633.8,6685.99,13780.2,5493.8
2018-12-24,2351.1,10633.8,6685.99,13780.2,5493.8
2018-12-21,2416.62,10633.8,6721.17,13935.4,5467.64
2018-12-20,2467.42,10611.1,6711.93,14141.8,5505.82
2018-12-19,2506.96,10766.2,6765.94,14264.1,5580.6
2018-12-18,2546.16,10740.9,6701.59,14416.9,5589.47
2018-12-17,2545.94,10772.2,6773.24,14362.7,5658.27
2018-12-14,2599.95,10865.8,6845.17,14595.1,5601.98
2018-12-13,2650.54,10924.7,6877.5,14750.4,5661.61
2018-12-12,2651.07,10929.4,6880.19,14783.1,5653.5
2018-12-11,2636.78,10780.5,6806.94,14667.8,5575.88
2018-12-10,2637.72,10622.1,6721.54,14728.3,5552.5
2018-12-07,2633.08,10788.1,6778.11,14795.1,5681.49
2018-12-06,2695.95,10811,6704.05,14937,5657.65
2018-12-05,2700.06,11200.2,6921.84,15182.6,5668.35
2018-12-04,2700.06,11335.3,7022.76,15063.6,5713.14
2018-12-03,2790.37,11465.5,7062.41,15275,5771.16
2018-11-30,2760.17,11257.2,6980.24,15197.8,5667.16
2018-11-29,2737.76,11298.2,7038.95,15194,5758.42
2018-11-28,2743.79,11298.9,7004.52,15171.3,5725.08
2018-11-27,2682.17,11309.1,7016.85,14944.1,5728.28
2018-11-26,2673.45,11354.7,7036,15012.7,5671.57
2018-11-23,2632.56,11192.7,6952.86,15010.7,5716.2
2018-11-21,2649.93,11244.2,7050.23,15095,5642.77
2018-11-20,2641.89,11066.4,6947.92,14877,5671.79
2018-11-19,2690.73,11244.5,7000.89,15071,5693.66
2018-11-16,2736.27,11341,7013.88,15155.5,5730.55
2018-11-15,2730.2,11353.7,7038.01,15144.9,5736.02
2018-11-14,2701.58,11412.5,7033.79,15133.1,5732.77
2018-11-13,2722.18,11472.2,7053.76,15131.8,5834.23
2018-11-09,2781.01,11529.2,7105.34,15274.4,5921.85
2018-11-08,2806.83,11527.3,7140.68,15357.5,5928.24
2018-11-07,2813.89,11579.1,7117.28,15369.4,5896.87
2018-11-06,2755.45,11484.3,7040.68,15292.7,5875.18
2018-11-05,2738.31,11495,7103.84,15217.7,5818.14
2018-11-02,2723.06,11519,7094.12,15119.3,5849.21
2018-11-01,2740.37,11468.5,7114.66,15150.2,5840.8
2018-10-31,2711.74,11447.5,7128.1,15027.3,5830.31
2018-10-30,2682.63,11287.4,7035.85,14894.5,5805.1
2018-10-29,2641.25,11335.5,7026.32,14721.8,5728.15
2018-10-26,2658.69,11200.6,6939.56,14888.3,5665.16
2018-10-25,2705.57,11307.1,7004.1,14924.1,5664.07
2018-10-24,2656.1,11191.6,6962.98,14909.1,5829.02
2018-10-23,2740.69,11274.3,6955.21,15285.2,5843.09
2018-10-22,2755.88,11524.3,7042.8,15412.7,5904.94
2018-10-19,2767.78,11553.8,7049.8,15470.1,5939.49
2018-10-18,2768.78,11589.2,7026.99,15404.1,5942.41
2018-10-17,2809.21,11715,7054.6,15529.9,5939.1
2018-10-16,2809.92,11776.5,7059.4,15579.7,5869.88
2018-10-15,2750.79,11614.2,7029.22,15409.5,5837.1
2018-10-12,2767.13,11523.8,6995.91,15414.3,5895.67
2018-10-11,2728.37,11539.4,7006.93,15317.1,5883.76
2018-10-10,2785.68,11712.5,7145.74,15517.4,6049.81
2018-10-09,2880.34,11977.2,7237.59,15854,6041.07
2018-10-05,2885.57,12111.9,7318.54,15946.2,6185.49
2018-10-04,2901.61,12244.1,7418.34,16006.7,6176.3
2018-10-03,2925.51,12287.6,7510.28,16072,6146.07
2018-10-02,2923.43,12287.6,7474.55,16017.2,6126.21
2018-10-01,2924.59,12339,7495.67,16104.4,6172.26
2018-09-28,2913.98,12246.7,7510.2,16073.1,6207.56
2018-09-27,2914,12435.6,7545.44,16204.6,6181.22
2018-09-26,2905.97,12385.9,7511.49,16169.3,6192.28
2018-09-25,2915.56,12374.7,7507.56,16159.5,6185.88
2018-09-24,2919.37,12350.8,7458.41,16207.3,6186.87
2018-09-21,2929.67,12430.9,7490.23,16224.1,6194.56
2018-09-20,2930.75,12326.5,7367.32,16214.8,6169.5
2018-09-19,2907.95,12219,7331.12,16149.9,6189.96
2018-09-18,2904.31,12157.7,7300.23,16196,6161.45
2018-09-17,2888.8,12096.4,7302.1,16082.3,6184.97
2018-09-14,2904.98,12124.3,7304.04,16013.5,6165.33
