Date,US,Germany,UK,Canada,Australia
21-May-19,"2,864.36","12,143.50","7,328.92","16,426.50","6,500.14"
20-May-19,"2,840.23","12,041.30","7,310.88","16,401.80","6,476.10"
17-May-19,"2,859.53","12,238.90","7,348.62","16,401.80","6,365.30"
16-May-19,"2,876.32","12,310.40","7,353.51","16,443.90","6,327.84"
15-May-19,"2,850.96","12,099.60","7,296.95","16,318.10","6,284.20"
14-May-19,"2,834.41","11,991.60","7,241.60","16,284.50","6,239.91"
13-May-19,"2,811.87","11,876.70","7,163.68","16,193.40","6,297.59"
10-May-19,"2,881.40","12,059.80","7,203.29","16,297.50","6,310.85"
9-May-19,"2,870.72","11,973.90","7,207.41","16,321.80","6,295.33"
8-May-19,"2,879.42","12,179.90","7,271.00","16,397.40","6,269.15"
7-May-19,"2,884.05","12,092.70","7,260.47","16,357.80","6,295.68"
6-May-19,"2,932.47","12,286.90","7,380.64","16,493.50","6,283.73"
3-May-19,"2,945.64","12,412.80","7,380.64","16,494.40","6,335.80"
2-May-19,"2,917.52","12,345.40","7,351.31","16,410.90","6,338.41"
1-May-19,"2,923.73","12,344.10","7,385.26","16,502.80","6,375.89"
30-Apr-19,"2,945.83","12,344.10","7,418.22","16,580.70","6,325.47"
29-Apr-19,"2,943.03","12,328.00","7,440.66","16,600.40","6,359.49"
26-Apr-19,"2,939.88","12,315.20","7,428.19","16,613.50","6,385.65"
25-Apr-19,"2,926.17","12,282.60","7,434.13","16,576.10","6,382.14"
24-Apr-19,"2,927.25","12,313.20","7,471.75","16,586.50","6,382.14"
23-Apr-19,"2,933.68","12,235.50","7,523.07","16,669.40","6,319.42"
22-Apr-19,"2,907.97","12,222.40","7,459.88","16,577.30","6,259.81"
18-Apr-19,"2,905.03","12,222.40","7,459.88","16,612.80","6,259.81"
17-Apr-19,"2,900.45","12,153.10","7,471.32","16,544.20","6,256.38"
16-Apr-19,"2,907.06","12,101.30","7,469.92","16,502.20","6,277.45"
15-Apr-19,"2,905.58","12,020.30","7,436.87","16,515.50","6,251.44"
12-Apr-19,"2,907.41","11,999.90","7,437.06","16,480.50","6,251.32"
11-Apr-19,"2,888.32","11,935.20","7,417.95","16,399.50","6,198.67"
10-Apr-19,"2,888.21","11,905.90","7,421.91","16,396.30","6,223.54"
9-Apr-19,"2,878.20","11,850.60","7,425.57","16,336.50","6,221.82"
8-Apr-19,"2,895.77","11,963.40","7,451.89","16,407.30","6,221.35"
5-Apr-19,"2,892.74","12,009.80","7,446.87","16,396.20","6,181.26"
4-Apr-19,"2,879.39","11,988.00","7,401.94","16,311.60","6,232.80"
3-Apr-19,"2,873.40","11,954.40","7,418.28","16,279.90","6,285.05"
2-Apr-19,"2,867.24","11,754.80","7,391.12","16,263.90","6,242.36"
1-Apr-19,"2,867.19","11,682.00","7,317.38","16,228.10","6,216.96"
29-Mar-19,"2,834.40","11,526.00","7,279.19","16,102.10","6,180.73"
28-Mar-19,"2,815.44","11,428.20","7,234.33","16,155.50","6,176.08"
27-Mar-19,"2,805.37","11,419.00","7,194.19","16,132.50","6,135.97"
26-Mar-19,"2,818.46","11,419.50","7,196.29","16,155.20","6,130.59"
25-Mar-19,"2,798.36","11,346.70","7,177.58","16,065.90","6,126.21"
22-Mar-19,"2,800.71","11,364.20","7,207.59","16,089.30","6,195.23"
21-Mar-19,"2,854.88","11,550.00","7,355.31","16,244.60","6,167.17"
20-Mar-19,"2,824.23","11,603.90","7,291.01","16,167.60","6,165.35"
19-Mar-19,"2,832.57","11,788.40","7,324.00","16,188.10","6,187.79"
18-Mar-19,"2,832.94","11,657.10","7,299.19","16,251.40","6,190.53"
15-Mar-19,"2,822.48","11,685.70","7,228.28","16,140.40","6,175.17"
14-Mar-19,"2,808.48","11,587.50","7,185.43","16,087.50","6,179.59"
13-Mar-19,"2,810.92","11,572.40","7,159.19","16,150.00","6,161.19"
12-Mar-19,"2,791.52","11,524.20","7,151.15","16,136.70","6,174.82"
11-Mar-19,"2,783.30","11,543.50","7,130.62","16,106.20","6,180.19"
8-Mar-19,"2,743.07","11,457.80","7,104.31","15,996.20","6,203.76"
7-Mar-19,"2,748.93","11,517.80","7,157.55","16,056.50","6,263.89"
6-Mar-19,"2,771.45","11,587.60","7,196.00","16,092.10","6,245.61"
5-Mar-19,"2,789.65","11,620.70","7,183.43","16,086.50","6,199.29"
4-Mar-19,"2,792.81","11,592.70","7,134.39","16,038.10","6,217.41"
1-Mar-19,"2,803.69","11,601.70","7,106.73","16,068.30","6,192.73"
28-Feb-19,"2,784.49","11,515.60","7,074.73","15,999.00","6,168.99"
27-Feb-19,"2,792.38","11,487.30","7,107.20","16,074.30","6,150.27"
26-Feb-19,"2,793.90","11,540.80","7,151.12","16,067.90","6,128.39"
25-Feb-19,"2,796.11","11,505.40","7,183.74","16,057.00","6,186.32"
22-Feb-19,"2,792.67","11,457.70","7,178.60","16,013.00","6,167.31"
21-Feb-19,"2,774.88","11,423.30","7,167.39","16,000.90","6,139.25"
20-Feb-19,"2,784.70","11,402.00","7,228.62","16,031.20","6,096.49"
19-Feb-19,"2,779.76","11,309.20","7,179.17","15,937.50","6,106.88"
15-Feb-19,"2,775.60","11,299.80","7,236.68","15,838.20","6,066.10"
14-Feb-19,"2,745.73","11,089.80","7,197.01","15,696.00","6,059.39"
13-Feb-19,"2,753.03","11,167.20","7,190.84","15,626.70","6,063.57"
12-Feb-19,"2,744.73","11,126.10","7,133.14","15,642.10","6,079.08"
11-Feb-19,"2,709.80","11,014.60","7,129.11","15,568.90","6,060.85"
8-Feb-19,"2,707.88","10,906.80","7,071.18","15,633.30","6,071.46"
7-Feb-19,"2,706.05","11,022.00","7,093.58","15,703.40","6,092.46"
6-Feb-19,"2,731.61","11,324.70","7,173.09","15,712.30","6,026.15"
5-Feb-19,"2,737.70","11,368.00","7,177.37","15,702.70","6,005.92"
4-Feb-19,"2,724.87","11,176.60","7,034.13","15,602.30","5,891.20"
