date,US,Germany,UK,Canada,Australia
05/21/19,2864.36,12143.50,7328.92,16426.50,6500.14
05/20/19,2840.23,12041.30,7310.88,16401.80,6476.10
05/17/19,2859.53,12238.90,7348.62,16401.80,6365.30
05/16/19,2876.32,12310.40,7353.51,16443.90,6327.84
05/15/19,2850.96,12099.60,7296.95,16318.10,6284.20
05/14/19,2834.41,11991.60,7241.60,16284.50,6239.91
05/13/19,2811.87,11876.70,7163.68,16193.40,6297.59
05/10/19,2881.40,12059.80,7203.29,16297.50,6310.85
05/09/19,2870.72,11973.90,7207.41,16321.80,6295.33
05/08/19,2879.42,12179.90,7271.00,16397.40,6269.15
05/07/19,2884.05,12092.70,7260.47,16357.80,6295.68
05/06/19,2932.47,12286.90,7380.64,16493.50,6283.73
05/03/19,2945.64,12412.80,7380.64,16494.40,6335.80
05/02/19,2917.52,12345.40,7351.31,16410.90,6338.41
05/01/19,2923.73,12344.10,7385.26,16502.80,6375.89
04/30/19,2945.83,12344.10,7418.22,16580.70,6325.47
04/29/19,2943.03,12328.00,7440.66,16600.40,6359.49
04/26/19,2939.88,12315.20,7428.19,16613.50,6385.65
04/25/19,2926.17,12282.60,7434.13,16576.10,6382.14
04/24/19,2927.25,12313.20,7471.75,16586.50,6382.14
04/23/19,2933.68,12235.50,7523.07,16669.40,6319.42
04/22/19,2907.97,12222.40,7459.88,16577.30,6259.81
04/18/19,2905.03,12222.40,7459.88,16612.80,6259.81
04/17/19,2900.45,12153.10,7471.32,16544.20,6256.38
04/16/19,2907.06,12101.30,7469.92,16502.20,6277.45
04/15/19,2905.58,12020.30,7436.87,16515.50,6251.44
04/12/19,2907.41,11999.90,7437.06,16480.50,6251.32
04/11/19,2888.32,11935.20,7417.95,16399.50,6198.67
04/10/19,2888.21,11905.90,7421.91,16396.30,6223.54
04/09/19,2878.20,11850.60,7425.57,16336.50,6221.82
04/08/19,2895.77,11963.40,7451.89,16407.30,6221.35
04/05/19,2892.74,12009.80,7446.87,16396.20,6181.26
04/04/19,2879.39,11988.00,7401.94,16311.60,6232.80
04/03/19,2873.40,11954.40,7418.28,16279.90,6285.05
04/02/19,2867.24,11754.80,7391.12,16263.90,6242.36
04/01/19,2867.19,11682.00,7317.38,16228.10,6216.96
03/29/19,2834.40,11526.00,7279.19,16102.10,6180.73
03/28/19,2815.44,11428.20,7234.33,16155.50,6176.08
03/27/19,2805.37,11419.00,7194.19,16132.50,6135.97
03/26/19,2818.46,11419.50,7196.29,16155.20,6130.59
03/25/19,2798.36,11346.70,7177.58,16065.90,6126.21
03/22/19,2800.71,11364.20,7207.59,16089.30,6195.23
03/21/19,2854.88,11550.00,7355.31,16244.60,6167.17
03/20/19,2824.23,11603.90,7291.01,16167.60,6165.35
03/19/19,2832.57,11788.40,7324.00,16188.10,6187.79
03/18/19,2832.94,11657.10,7299.19,16251.40,6190.53
03/15/19,2822.48,11685.70,7228.28,16140.40,6175.17
03/14/19,2808.48,11587.50,7185.43,16087.50,6179.59
03/13/19,2810.92,11572.40,7159.19,16150.00,6161.19
03/12/19,2791.52,11524.20,7151.15,16136.70,6174.82
03/11/19,2783.30,11543.50,7130.62,16106.20,6180.19
03/08/19,2743.07,11457.80,7104.31,15996.20,6203.76
03/07/19,2748.93,11517.80,7157.55,16056.50,6263.89
03/06/19,2771.45,11587.60,7196.00,16092.10,6245.61
03/05/19,2789.65,11620.70,7183.43,16086.50,6199.29
03/04/19,2792.81,11592.70,7134.39,16038.10,6217.41
03/01/19,2803.69,11601.70,7106.73,16068.30,6192.73
02/28/19,2784.49,11515.60,7074.73,15999.00,6168.99
02/27/19,2792.38,11487.30,7107.20,16074.30,6150.27
02/26/19,2793.90,11540.80,7151.12,16067.90,6128.39
02/25/19,2796.11,11505.40,7183.74,16057.00,6186.32
02/22/19,2792.67,11457.70,7178.60,16013.00,6167.31
02/21/19,2774.88,11423.30,7167.39,16000.90,6139.25
02/20/19,2784.70,11402.00,7228.62,16031.20,6096.49
02/19/19,2779.76,11309.20,7179.17,15937.50,6106.88
02/15/19,2775.60,11299.80,7236.68,15838.20,6066.10
02/14/19,2745.73,11089.80,7197.01,15696.00,6059.39
02/13/19,2753.03,11167.20,7190.84,15626.70,6063.57
02/12/19,2744.73,11126.10,7133.14,15642.10,6079.08
02/11/19,2709.80,11014.60,7129.11,15568.90,6060.85
02/08/19,2707.88,10906.80,7071.18,15633.30,6071.46
02/07/19,2706.05,11022.00,7093.58,15703.40,6092.46
02/06/19,2731.61,11324.70,7173.09,15712.30,6026.15
02/05/19,2737.70,11368.00,7177.37,15702.70,6005.92
02/04/19,2724.87,11176.60,7034.13,15602.30,5891.20
02/01/19,2706.53,11180.70,7020.22,15506.30,5862.83
01/31/19,2704.10,11173.10,6968.85,15540.60,5864.65
01/30/19,2681.05,11181.70,6941.63,15484.50,5886.70
01/29/19,2640.00,11218.80,6833.93,15463.10,5874.17
01/28/19,2643.85,11210.30,6747.10,15378.60,5905.60
01/25/19,2664.76,11281.80,6809.22,15366.00,5905.60
01/24/19,2642.33,11130.20,6818.95,15280.80,5865.69
01/23/19,2638.70,11071.50,6842.88,15208.30,5843.72
01/22/19,2632.90,11090.10,6901.39,15233.80,5858.79
01/18/19,2670.71,11205.50,6968.33,15303.80,5879.59
01/17/19,2635.96,10918.60,6834.92,15211.20,5850.05
01/16/19,2616.10,10931.20,6862.68,15111.30,5835.16
01/15/19,2610.30,10891.80,6895.02,15046.30,5814.56
01/14/19,2582.61,10855.90,6855.02,14975.50,5773.37
01/11/19,2596.26,10887.50,6918.18,14939.20,5774.58
01/10/19,2596.64,10921.60,6942.87,14903.50,5795.27
01/09/19,2584.96,10893.30,6906.63,14804.70,5778.29
01/08/19,2574.41,10804.00,6861.60,14605.20,5722.44
01/07/19,2549.69,10747.80,6810.88,14504.10,5683.19
01/04/19,2531.94,10767.70,6837.42,14426.60,5619.35
01/03/19,2447.89,10416.70,6692.66,14212.80,5633.40
01/02/19,2510.03,10580.20,6734.23,14347.20,5557.76
12/31/18,2506.85,10559.00,6728.13,14322.90,5646.40
12/28/18,2485.74,10559.00,6733.97,14222.00,5654.32
12/27/18,2488.83,10381.50,6584.68,14165.20,5597.20
12/26/18,2467.70,10633.80,6685.99,13780.20,5493.80
12/24/18,2351.10,10633.80,6685.99,13780.20,5493.80
12/21/18,2416.62,10633.80,6721.17,13935.40,5467.64
12/20/18,2467.42,10611.10,6711.93,14141.80,5505.82
12/19/18,2506.96,10766.20,6765.94,14264.10,5580.60
12/18/18,2546.16,10740.90,6701.59,14416.90,5589.47
12/17/18,2545.94,10772.20,6773.24,14362.70,5658.27
12/14/18,2599.95,10865.80,6845.17,14595.10,5601.98
12/13/18,2650.54,10924.70,6877.50,14750.40,5661.61
12/12/18,2651.07,10929.40,6880.19,14783.10,5653.50
12/11/18,2636.78,10780.50,6806.94,14667.80,5575.88
12/10/18,2637.72,10622.10,6721.54,14728.30,5552.50
12/07/18,2633.08,10788.10,6778.11,14795.10,5681.49
12/06/18,2695.95,10811.00,6704.05,14937.00,5657.65
12/05/18,2700.06,11200.20,6921.84,15182.60,5668.35
12/04/18,2700.06,11335.30,7022.76,15063.60,5713.14
12/03/18,2790.37,11465.50,7062.41,15275.00,5771.16
11/30/18,2760.17,11257.20,6980.24,15197.80,5667.16
11/29/18,2737.76,11298.20,7038.95,15194.00,5758.42
11/28/18,2743.79,11298.90,7004.52,15171.30,5725.08
11/27/18,2682.17,11309.10,7016.85,14944.10,5728.28
11/26/18,2673.45,11354.70,7036.00,15012.70,5671.57
11/23/18,2632.56,11192.70,6952.86,15010.70,5716.20
11/21/18,2649.93,11244.20,7050.23,15095.00,5642.77
11/20/18,2641.89,11066.40,6947.92,14877.00,5671.79
11/19/18,2690.73,11244.50,7000.89,15071.00,5693.66
11/16/18,2736.27,11341.00,7013.88,15155.50,5730.55
11/15/18,2730.20,11353.70,7038.01,15144.90,5736.02
11/14/18,2701.58,11412.50,7033.79,15133.10,5732.77
11/13/18,2722.18,11472.20,7053.76,15131.80,5834.23
11/09/18,2781.01,11529.20,7105.34,15274.40,5921.85
11/08/18,2806.83,11527.30,7140.68,15357.50,5928.24
11/07/18,2813.89,11579.10,7117.28,15369.40,5896.87
11/06/18,2755.45,11484.30,7040.68,15292.70,5875.18
11/05/18,2738.31,11495.00,7103.84,15217.70,5818.14
11/02/18,2723.06,11519.00,7094.12,15119.30,5849.21
11/01/18,2740.37,11468.50,7114.66,15150.20,5840.80
10/31/18,2711.74,11447.50,7128.10,15027.30,5830.31
10/30/18,2682.63,11287.40,7035.85,14894.50,5805.10
10/29/18,2641.25,11335.50,7026.32,14721.80,5728.15
10/26/18,2658.69,11200.60,6939.56,14888.30,5665.16
10/25/18,2705.57,11307.10,7004.10,14924.10,5664.07
10/24/18,2656.10,11191.60,6962.98,14909.10,5829.02
10/23/18,2740.69,11274.30,6955.21,15285.20,5843.09
